id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores
184,Volcano,Car,planet,12,"['planet', 'River', 'Vortex', 'Spread of Fire', 'Ecosystem', 'Plants', 'Evolution', 'Seismic Imaging', 'Reactor', 'tidal phenomena', 'Chemical Reactions', 'Car', 'city', 'forest', 'engine', 'Disease', 'universe', 'ecosystem', 'Power Generation', 'Buildings']","[0.39353636378579143, 0.3923448707726185, 0.3905005672995592, 0.36414340964372827, 0.33169615918129525, 0.3126087870829417, 0.31125964232073133, 0.3002347926409069, 0.2988366127580746, 0.29488439892154794, 0.29199101549561884, 0.29157949873214767, 0.29094678902138554, 0.290016181856228, 0.28690150039319207, 0.2833791945888816, 0.28060723284095795, 0.28001040828861545, 0.27648471559741833, 0.2750144249130323]"
185,Rock Metamorphosis,Baking,Shooting Through Walls,-1,"['Shooting Through Walls', 'Prospecting', 'Human Emotions', 'Urban Evolution', 'The Real World', 'Chemical Reactions', 'Music Performance', 'Power Generation', 'planet', 'day and night cycle', 'The Long Journey', 'Music', 'Recovering a Corrupted Music File', 'Seismic Imaging', 'Reactor', 'Sunrise', 'Population Movement', 'respiration', 'Biological Evolution', 'Robotic Movement']","[0.4069774779365558, 0.29910005963101305, 0.2759478360799459, 0.24614989768641798, 0.22783778410426117, 0.22762433620639078, 0.2223277710494191, 0.21980963100634693, 0.21530971407931954, 0.21176413067239422, 0.20912130741688179, 0.20760070859515412, 0.204104695766318, 0.20131544526705958, 0.20085776838794112, 0.19889962725880617, 0.19262237493381376, 0.19123009051316187, 0.19073257142649203, 0.18570703253406534]"
186,Geological Formation,Origami,Seismic Imaging,-1,"['Seismic Imaging', 'Prospecting', 'Maps', '3D Projection', 'tidal phenomena', 'planet', 'Families', 'Building', 'River', 'Buildings', 'forest', 'Occupation', 'Factory', 'company', 'city', 'factory', 'family', 'Drawing', 'Disease', 'life']","[0.3828303736928841, 0.35561671538921363, 0.32028617339070864, 0.31504317092239975, 0.3133591021249607, 0.3118565268488617, 0.30768710625102225, 0.3062722312902517, 0.30520116306932255, 0.30457228202061437, 0.30335385797646763, 0.30110735441724634, 0.3005958150451453, 0.29439651403217904, 0.2864611569839342, 0.27518217667229417, 0.27355465252005745, 0.2733529219172507, 0.2692554717333235, 0.2692250603989298]"
187,Deposit Formation,Cookie Making,Friction,-1,"['Friction', 'Factory', 'heat transfer', 'factory', 'Currency Loss', 'air filter', 'Diseases', 'Disease', 'Spread of Fire', 'Regulator', 'Information Flow', 'Financial Equilibrium', 'Prospecting', 'object slides', 'Conservation of Water Flow', 'Factory System', 'Financial Markets', 'Deafness', 'Construction Work', 'Skin System']","[0.39819302488940184, 0.3880164293721016, 0.3703440212380375, 0.35971932475649016, 0.33984258217201235, 0.3356788556049411, 0.3326327195843646, 0.3277376942178627, 0.32219118228267635, 0.31990742056497135, 0.3187492055820743, 0.3114965740061181, 0.30967892382441353, 0.30579338035166936, 0.30507242308264426, 0.30450540272446097, 0.3030833617697931, 0.30299845407807857, 0.2988376586982272, 0.2964721715516805]"
188,Empire,Tree,Ancient Rome,-1,"['Ancient Rome', 'government', 'Democracy', 'Feudal Dynasties', 'city', 'nation', 'politics', 'Occupation', 'Ancient Greece', 'City', 'German Constitutional Monarchy', 'Families', 'family', 'Ecosystem', 'Ancient Western Asia', 'India', 'ecosystem', 'China', 'Immunity', 'Enlightenment']","[0.5245784513069938, 0.4603293795925961, 0.44521259837611643, 0.41838438358367247, 0.4012806669628463, 0.40106596456193205, 0.39598400429244107, 0.3748648190308314, 0.3720828813665162, 0.37136112159087603, 0.3683793076069738, 0.3673197207906247, 0.3617512909759206, 0.3604206532080588, 0.35839944653326034, 0.35614062387292683, 0.35534145009904283, 0.35516711049766664, 0.3530254750483075, 0.3518010465118908]"
189,American Congressional System,Democratic Centralism in China,American Presidential System,11,"['American Presidential System', 'Australian Parliamentary System', 'French Presidential System', 'French presidential system', 'Mexican Political System', 'British Government System', 'Constitution of 1787', 'Chinese Political System', 'The Constitution of 1787', 'government', 'Democratic Centralism in China', 'Democracy', 'German Constitutional Monarchy', 'A Distributed Computing System', 'American Civil War', 'state', 'Declaration of Independence', 'politics', 'Factory System', 'Air handling system']","[0.8169047356673056, 0.6367719189682184, 0.5781084587960661, 0.5418588214872933, 0.48451642214750484, 0.4796256336216759, 0.45925348563694474, 0.458307381781519, 0.42951071645800726, 0.39324255944958664, 0.38000873516773026, 0.3634126150241429, 0.33937990319476263, 0.32218513262970533, 0.3127123417917181, 0.3127001433129814, 0.3117599284496757, 0.3072270445487606, 0.3050590346896068, 0.2824664106651117]"
190,British Parliamentary System,Australian Parliamentary System,Australian Parliamentary System,1,"['Australian Parliamentary System', 'British Government System', 'American Presidential System', 'French presidential system', 'French Presidential System', 'Chinese Political System', 'government', 'Democracy', 'German Constitutional Monarchy', 'Constitution of 1787', 'Factory System', 'Mexican Political System', 'The Constitution of 1787', 'Democratic Centralism in China', 'Houses', 'Feudal Dynasties', 'politics', 'The Writing System', 'house', 'Brave New World']","[0.7740458894608603, 0.736678389040496, 0.5536661852400173, 0.4910043092357884, 0.4681931083944111, 0.41908204810497784, 0.41190478731842384, 0.41158218295044613, 0.39034324295166944, 0.38397278161933956, 0.3681475553366105, 0.36269748853176187, 0.3559006670946345, 0.3445950756452363, 0.30819566125473585, 0.30771958401421146, 0.2892599428494398, 0.28056810623618866, 0.2771936883704554, 0.27699340333969374]"
191,Russian Political System,Chinese Political System,French presidential system,4,"['French presidential system', 'French Presidential System', 'American Presidential System', 'Chinese Political System', 'Australian Parliamentary System', 'Mexican Political System', 'British Government System', 'government', 'Democratic Centralism in China', 'Constitution of 1787', 'German Constitutional Monarchy', 'politics', 'The Constitution of 1787', 'Democracy', 'state', 'nation', 'China', 'The French Revolution', 'Meiji Restoration in Japan', 'Factory System']","[0.5790631567477793, 0.5419722224962398, 0.5053157404762921, 0.5039609832871497, 0.4969817941022902, 0.4924490641156143, 0.4479539106139474, 0.40362665952361393, 0.3733426483664254, 0.35837436964025193, 0.3376500461193449, 0.3376057750510292, 0.33277819441982537, 0.3082199071194454, 0.2969979623995825, 0.2671963443734253, 0.24877050154328847, 0.2484388747500578, 0.24056454065083366, 0.23126915724348462]"
192,Spanish Political System,Mexican Political System,Mexican Political System,1,"['Mexican Political System', 'Australian Parliamentary System', 'French presidential system', 'British Government System', 'French Presidential System', 'Chinese Political System', 'German Constitutional Monarchy', 'American Presidential System', 'government', 'politics', 'Democracy', 'Feudal Dynasties', 'Democratic Centralism in China', 'state', 'Constitution of 1787', 'The French Revolution', 'The Constitution of 1787', 'society', 'neutral country', 'nation']","[0.6037295687721018, 0.5318906838607282, 0.5194464234755097, 0.5138740245987389, 0.5027792022152001, 0.4991588231893298, 0.4734839469605837, 0.46210440806511005, 0.4244853485516633, 0.3887940221218908, 0.36612356828176834, 0.36101028838721355, 0.34577799546120136, 0.32747659482898783, 0.30853962565568327, 0.3054350304784349, 0.3020515939645928, 0.2797402167120354, 0.2642230298490506, 0.2607662654831283]"
193,Japanese Government System,British Government System,British Government System,1,"['British Government System', 'government', 'Australian Parliamentary System', 'French presidential system', 'French Presidential System', 'Chinese Political System', 'Mexican Political System', 'German Constitutional Monarchy', 'American Presidential System', 'Meiji Restoration in Japan', 'The Constitution of 1787', 'Democratic Centralism in China', 'Constitution of 1787', 'state', 'Democracy', 'Feudal Dynasties', 'nation', 'politics', 'China', 'Factory System']","[0.6152415871842575, 0.5552902179931406, 0.5399171040101167, 0.503592264659963, 0.49165313182417364, 0.483174008077679, 0.4802940962184283, 0.47862316086261564, 0.4635330809502312, 0.44894297727888866, 0.3574795345123215, 0.35041255176719177, 0.34960794739586354, 0.34157631361808727, 0.3334501920605185, 0.29944979498022606, 0.29285487740694915, 0.2751336030162921, 0.26414574137125246, 0.25270106671396186]"
194,Reign of the Pharaohs,Feudal Dynasties,Ancient Rome,5,"['Ancient Rome', 'Ancient Greece', 'Ancient Western Asia', 'The French Revolution', 'Feudal Dynasties', 'Archeology', 'Revolution of 1911', 'Alphabet', 'Meiji Restoration in Japan', 'Reform Movement of 1898', 'German Constitutional Monarchy', 'The Revolution of 1911', 'government', 'Enlightenment', 'China', 'The Constitution of 1787', 'Democracy', 'French Presidential System', 'Dictionary', 'French presidential system']","[0.42554867758993165, 0.3550115848669362, 0.3184717618523507, 0.2933978705463234, 0.27639965984038606, 0.275987169742178, 0.2687381521026445, 0.2656154433054484, 0.2629545584168693, 0.25003930428876486, 0.2423104505860435, 0.24112856693403176, 0.23947816804690944, 0.233243106756294, 0.23238177735625595, 0.2228658990542538, 0.21827588051806937, 0.21663668226691682, 0.21288081145339063, 0.20576688274355082]"
195,Pyramids,The Great Wall,Building Structure,2,"['Building Structure', 'The Great Wall', ""Rubik's Cube"", 'Buildings', 'Walls', 'Ancient Rome', 'Great Wall', 'Maps', 'Building', 'a three-dimensional puzzle', 'human', 'Dominoes', '3D Projection', 'Ancient Greece', 'city', 'China', 'City', 'The Maze Problem', 'Architecture', 'Mirrors']","[0.4542344876027242, 0.40062882014856543, 0.38756938593434753, 0.366126223528955, 0.36392171958049285, 0.338988117170172, 0.3250056683085478, 0.3224612011037051, 0.3221816239636242, 0.3197740097662828, 0.3162910865518294, 0.3047202767990319, 0.2977927783714189, 0.28933411220867233, 0.28874477499769957, 0.2854526734802084, 0.2850045284202594, 0.28218657130572405, 0.2786192504842581, 0.2776085439116943]"
196,Napoleonic Wars,The War Against Japan,The French Revolution,8,"['The French Revolution', 'The American War of Independence', 'American Civil War', 'Enlightenment', 'War', 'Ancient Rome', 'The Second Industrial Revolution', 'The War Against Japan', 'Declaration of the Rights of Man', 'French Presidential System', 'Ancient Greece', 'Feudal Dynasties', 'French presidential system', 'Revolution of 1911', 'Declaration of Human Rights', 'Declaration of Independence', 'Meiji Restoration in Japan', 'The Revolution of 1911', 'neutral country', 'Constitution of 1787']","[0.5324390454385691, 0.44594755118984963, 0.43518693711660855, 0.42417366609297086, 0.3815164189678999, 0.38001011477355445, 0.3483635522931053, 0.341081262892491, 0.34028591235853234, 0.331933210481908, 0.3273175238502951, 0.3257647212368181, 0.3137346510104638, 0.28924720798515957, 0.2767812383412241, 0.27079782651398554, 0.2614691954442637, 0.26096983494901227, 0.25672040061409684, 0.2559169224403696]"
197,The British Bourgeois Revolution,The American War of Independence,The French Revolution,4,"['The French Revolution', 'Enlightenment', 'British Government System', 'The American War of Independence', 'Declaration of the Rights of Man', 'The Second Industrial Revolution', 'Revolution of 1911', 'Factory System', 'Meiji Restoration in Japan', 'Declaration of Independence', 'The Revolution of 1911', 'Declaration of Human Rights', 'Feudal Dynasties', 'Brave New World', 'Ancient Rome', 'Reform Movement of 1898', 'business', 'reasons for a theory', 'New Culture Movement', 'Animal Farm']","[0.5632702442486713, 0.4261181018614223, 0.4222398337237983, 0.42009041722207074, 0.40810609618231986, 0.3955297601268438, 0.386552446767772, 0.379419532856333, 0.3747639326825111, 0.37275576275410016, 0.35535013171899565, 0.35064802322133143, 0.3455400643200112, 0.3361951664861686, 0.32158717863209774, 0.3178887103651834, 0.301088992933783, 0.2981023266237498, 0.29130608644129663, 0.2910981110008161]"
198,English Bourgeois Revolution,The French Revolution,The French Revolution,1,"['The French Revolution', 'Enlightenment', 'Revolution of 1911', 'The Second Industrial Revolution', 'Declaration of the Rights of Man', 'Meiji Restoration in Japan', 'The Revolution of 1911', 'The American War of Independence', 'Feudal Dynasties', 'Declaration of Independence', 'Factory System', 'British Government System', 'Declaration of Human Rights', 'Brave New World', 'Reform Movement of 1898', 'Ancient Rome', 'New Culture Movement', 'Democracy', 'German Constitutional Monarchy', 'reasons for a theory']","[0.5871836663899477, 0.4787659330559538, 0.4267893064190006, 0.41913501155959476, 0.4152187063345643, 0.40647819112140193, 0.4041775431392066, 0.40298831827969156, 0.3980204118396831, 0.3893402103301491, 0.3893162018946212, 0.38161948831573345, 0.3780804452249169, 0.33781345208632835, 0.33592588454089106, 0.3326531925058297, 0.3295957809491514, 0.32848486861793547, 0.31854885229353985, 0.30558540918463617]"
199,American Revolutionary War,The French Revolution,The American War of Independence,4,"['The American War of Independence', 'Declaration of Independence', 'American Civil War', 'The French Revolution', 'Constitution of 1787', 'Declaration of the Rights of Man', 'The Constitution of 1787', 'Enlightenment', 'American Presidential System', 'War', 'The Revolution of 1911', 'Declaration of Human Rights', 'Revolution of 1911', 'The Second Industrial Revolution', 'The War Against Japan', 'Army', 'Ancient Rome', 'neutral country', 'The Discovery of America', 'nation']","[0.8876013621124517, 0.5996160066289206, 0.5696499766823289, 0.4611116475699466, 0.4502291240813695, 0.41952996435357276, 0.4006005537309073, 0.3694427367159764, 0.36064584361788965, 0.3445385255078205, 0.3356976889336035, 0.33226658349035415, 0.3249927083345978, 0.3200320035023324, 0.2947232745212256, 0.2903069276111092, 0.2866394290560996, 0.2716520642501819, 0.27108240510037496, 0.25681817535550766]"
200,Bill of Rights,Declaration of Independence,Declaration of the Rights of Man,4,"['Declaration of the Rights of Man', 'Declaration of Human Rights', 'Constitution of 1787', 'Declaration of Independence', 'The Constitution of 1787', 'Democracy', 'The American War of Independence', 'The French Revolution', 'Enlightenment', 'government', 'Building Repair', 'Buildings', 'Walls', 'state', 'Building', 'Australian Parliamentary System', 'British Government System', 'book', 'nation', 'Houses']","[0.6166965852283484, 0.5966840687280732, 0.5574668953055545, 0.5182801239235864, 0.5049279633003237, 0.4111534952428384, 0.3710279613259619, 0.3578544953768125, 0.34176871592551267, 0.3295508517013511, 0.3221476238988369, 0.32023423660447425, 0.31301858237828795, 0.30716258560611104, 0.3069331021927699, 0.3031710003284517, 0.30187072934724946, 0.2945899523595911, 0.2856665117673851, 0.2799118328728957]"
201,The Bill of Rights,The Constitution of 1787,Declaration of the Rights of Man,5,"['Declaration of the Rights of Man', 'Declaration of Human Rights', 'Constitution of 1787', 'Declaration of Independence', 'The Constitution of 1787', 'Democracy', 'The American War of Independence', 'British Government System', 'Enlightenment', 'The French Revolution', 'book', 'government', 'Buildings', 'state', 'Building', 'Australian Parliamentary System', 'Walls', 'German Constitutional Monarchy', 'Building Repair', 'Ancient Rome']","[0.5960845587596182, 0.5960843219656059, 0.5817586172718631, 0.5606408344713771, 0.544874868534051, 0.40357435107200523, 0.39186532882675396, 0.3894181135054897, 0.34855545680110683, 0.3420989632839373, 0.3255738219444657, 0.32003278879694064, 0.31815494876912387, 0.3126012291407392, 0.31171883974556114, 0.3075943514463053, 0.3049842736523667, 0.30469759947827507, 0.3035707159539853, 0.294560096545953]"
202,Bill of Rights,Declaration of Human Rights,Declaration of the Rights of Man,2,"['Declaration of the Rights of Man', 'Declaration of Human Rights', 'Constitution of 1787', 'Declaration of Independence', 'The Constitution of 1787', 'British Government System', 'Democracy', 'The American War of Independence', 'The French Revolution', 'Australian Parliamentary System', 'government', 'Enlightenment', 'Walls', 'Building Repair', 'Buildings', 'Building', 'German Constitutional Monarchy', 'book', 'nation', 'password lock']","[0.6057505890519419, 0.5564886793927994, 0.5118052456042523, 0.4939381953823373, 0.46777898101352855, 0.38264952743642766, 0.3634079553552387, 0.3630831803849516, 0.32800897761038716, 0.3242159377429565, 0.3187672244422809, 0.3127663437332126, 0.2927130734573511, 0.2919267442993653, 0.2820173457452298, 0.28119217570578636, 0.2795088713618038, 0.27158992121353664, 0.2656855348673797, 0.2600678636049722]"
203,Declaration of Independence,Constitution of 1787,Declaration of Independence,5,"['Declaration of Independence', 'The American War of Independence', 'Declaration of the Rights of Man', 'Declaration of Human Rights', 'Constitution of 1787', 'The Constitution of 1787', 'American Civil War', 'Enlightenment', 'The French Revolution', 'nation', 'The Discovery of India', 'Democracy', 'state', 'American Presidential System', 'The Revolution of 1911', 'The Second Industrial Revolution', 'The Discovery of America', 'idea', 'Revolution of 1911', 'government']","[0.9291329254568644, 0.6987191333586539, 0.5984931486146108, 0.590317974500898, 0.5474688947078719, 0.49764035635536974, 0.3922944957157057, 0.3881726380981473, 0.3645079858382684, 0.3489157245917798, 0.341566110399429, 0.3376772960685218, 0.3370555413303685, 0.3368874532027709, 0.2981962701463798, 0.29349302058280935, 0.2881118638256412, 0.28581096290352476, 0.27769156112930143, 0.2759775188872614]"
204,Declaration of Independence,Declaration of Human Rights,Declaration of Independence,3,"['Declaration of Independence', 'The American War of Independence', 'Declaration of Human Rights', 'Constitution of 1787', 'Declaration of the Rights of Man', 'The Constitution of 1787', 'American Civil War', 'Enlightenment', 'The French Revolution', 'nation', 'The Discovery of India', 'The Revolution of 1911', 'American Presidential System', 'The Second Industrial Revolution', 'Ancient Rome', 'Revolution of 1911', 'The Discovery of America', 'Democracy', 'India', 'Brave New World']","[0.9074666455876247, 0.721974976355152, 0.5757921996865873, 0.5681982819939004, 0.5642253614882631, 0.5069862205691897, 0.4055805086398026, 0.39685419135930783, 0.3896192499753394, 0.35088972542304914, 0.3229768408593546, 0.32202239684853606, 0.31344844743966715, 0.3028708936455339, 0.30175312425255546, 0.30148535218150546, 0.29199771120415174, 0.2908631333689519, 0.2690053259591376, 0.26820721578690376]"
205,1787 Constitution,Declaration of the Rights of Man,Constitution of 1787,4,"['Constitution of 1787', 'The Constitution of 1787', 'Declaration of Independence', 'Declaration of the Rights of Man', 'The American War of Independence', 'Declaration of Human Rights', 'American Presidential System', 'Democracy', 'The French Revolution', 'French presidential system', 'government', 'nation', 'American Civil War', 'Australian Parliamentary System', 'British Government System', 'French Presidential System', 'Enlightenment', 'German Constitutional Monarchy', 'Ancient Rome', 'Mexican Political System']","[0.910145611141083, 0.8897124746514413, 0.5851284302787193, 0.524735719103311, 0.5186107964416636, 0.4768206896921926, 0.46163023842800355, 0.41875380370897186, 0.405977157610667, 0.3787295375400944, 0.37746668838654707, 0.37392901356910935, 0.37269783556288166, 0.36404985728778316, 0.36307440227391574, 0.356749935128585, 0.34948005212934, 0.3409490729245356, 0.3326603154443014, 0.32593164227634513]"
206,American Revolutionary War,American Civil War,The American War of Independence,3,"['The American War of Independence', 'Declaration of Independence', 'American Civil War', 'Constitution of 1787', 'The French Revolution', 'Declaration of the Rights of Man', 'The Constitution of 1787', 'Enlightenment', 'Declaration of Human Rights', 'War', 'The Revolution of 1911', 'Revolution of 1911', 'American Presidential System', 'The Second Industrial Revolution', 'The War Against Japan', 'Army', 'Ancient Rome', 'The Discovery of America', 'Ancient Greece', 'Football Game']","[0.91347847676325, 0.6234253484530767, 0.5621609004815113, 0.4384189299330238, 0.43267646681372857, 0.41791517515659693, 0.3985461658822108, 0.3871202632763139, 0.3418705757663185, 0.3402128117909732, 0.33131498736237497, 0.3254371015728962, 0.3229394307216436, 0.3059857293644292, 0.3050396849494186, 0.2735635801236088, 0.2710323263155208, 0.26975284736022176, 0.2661218946521472, 0.2528828646362916]"
207,Reformation in Russia in 1861,Meiji Restoration in Japan,Ancient Rome,4,"['Ancient Rome', 'The Second Industrial Revolution', 'The French Revolution', 'Meiji Restoration in Japan', 'Reform Movement of 1898', 'Revolution of 1911', 'The Revolution of 1911', 'Enlightenment', 'Feudal Dynasties', 'American Civil War', 'Animal Farm', 'Ancient Greece', 'The American War of Independence', 'Declaration of Independence', 'Declaration of the Rights of Man', 'Factory System', 'Declaration of Human Rights', 'New Culture Movement', 'China', 'neutral country']","[0.4383044345643632, 0.40715317539285767, 0.39622727510842526, 0.3922387897496801, 0.382747318662658, 0.3732636637530598, 0.3474479238783465, 0.34445537369045676, 0.3104613307665568, 0.30996498190967275, 0.2987754792282349, 0.2742908203391366, 0.26584576567576673, 0.2620783086673397, 0.2586293249374562, 0.2586213151515725, 0.2564301073085505, 0.24451390657164018, 0.24289671042348465, 0.24180429245896182]"
208,Industrial Revolution,The Second Industrial Revolution,The Second Industrial Revolution,1,"['The Second Industrial Revolution', 'Factory System', 'The French Revolution', 'Ancient Rome', 'Printing', 'Factory', 'Enlightenment', 'Robotic Movement', 'American Civil War', ""the factory's production line"", 'factory', 'The American War of Independence', 'Machines', 'Meiji Restoration in Japan', 'Power Generation', 'India', 'engine', 'Computer', 'The Production Line of a Car Factory', 'Biological Evolution']","[0.7165848957334301, 0.5486396136138263, 0.4302348492122155, 0.4181194087702882, 0.40048157499502357, 0.3991825101044075, 0.381799165566769, 0.37100913369325184, 0.3617459203766269, 0.3569845786193235, 0.3558135742903006, 0.35247540164638824, 0.3308817627859453, 0.32651003036627285, 0.32589306191343365, 0.32511967996371244, 0.3240077607237637, 0.32212100331881793, 0.3185020163779816, 0.3173872713632331]"
209,Renaissance,Enlightenment,Enlightenment,1,"['Enlightenment', 'Ancient Rome', 'Ancient Greece', 'The French Revolution', 'Printing', 'Feudal Dynasties', 'The Second Industrial Revolution', 'Meiji Restoration in Japan', 'human', 'Declaration of the Rights of Man', 'Archeology', 'Democracy', 'Ancient Western Asia', 'American Civil War', 'Architecture', 'River', 'New Culture Movement', 'Declaration of Human Rights', 'faith', 'Drama']","[0.4953293817659058, 0.4931071172162492, 0.47489971769488715, 0.39424841991995546, 0.3692896653313381, 0.35936260822859234, 0.3403359853962097, 0.3347665298855757, 0.30882979538701805, 0.3073148772121589, 0.3032078420485079, 0.29900601101500823, 0.29833973750493026, 0.2924334269106451, 0.29191545337706876, 0.2868365523197932, 0.2741603048366199, 0.27308833887599915, 0.27284413208290637, 0.2677954538506498]"
210,Westernization Movement,Reform Movement of 1898,New Culture Movement,3,"['New Culture Movement', 'Enlightenment', 'Reform Movement of 1898', 'marriage', 'education', 'The Second Industrial Revolution', 'The French Revolution', 'Democratic Centralism in China', 'Population Movement', 'Revolution of 1911', 'Conservation of Water Flow', 'China', 'Factory System', 'The Revolution of 1911', 'Meiji Restoration in Japan', 'poverty', 'Journey to the West', 'Nie Haihua', 'Wave Propagation', 'Democracy']","[0.5035017316512059, 0.42931357145662075, 0.41387844956917785, 0.3725097106380815, 0.3597459293708013, 0.35408438439031853, 0.3492992075837923, 0.34723701676586205, 0.33881803394631294, 0.3264226474369187, 0.32533683236005717, 0.3241954107905684, 0.32364536497991103, 0.3222084103894829, 0.312420374553748, 0.3119263722537424, 0.3079670391453011, 0.29955992490411276, 0.29794203445175493, 0.2943614260533173]"
211,Westernization Movement,The Revolution of 1911,New Culture Movement,-1,"['New Culture Movement', 'Enlightenment', 'marriage', 'The French Revolution', 'education', 'Population Movement', 'The Second Industrial Revolution', 'Reform Movement of 1898', 'Wave Propagation', 'Water Wave Propagation', 'poverty', 'Conservation of Water Flow', 'family', 'Factory System', 'Families', 'politics', 'Democracy', 'Meiji Restoration in Japan', 'Declaration of Human Rights', 'nation']","[0.4336369461680825, 0.41685121494832433, 0.37819217924226833, 0.36365799009694966, 0.3569621370860101, 0.344769669456284, 0.34417093716914643, 0.3413047444319651, 0.33389666676522844, 0.3333195982978674, 0.31807371081357977, 0.31760007275170654, 0.3065740313328357, 0.3027201507548669, 0.3018144987130414, 0.2850331950762297, 0.28483624513351713, 0.2828834249235289, 0.2807665784101959, 0.2770763993498094]"
212,Westernization Movement,New Culture Movement,New Culture Movement,1,"['New Culture Movement', 'Reform Movement of 1898', 'Enlightenment', 'The Revolution of 1911', 'Revolution of 1911', 'Democratic Centralism in China', 'The French Revolution', 'China', 'Meiji Restoration in Japan', 'education', 'marriage', 'Journey to the West', 'Population Movement', 'The Second Industrial Revolution', 'Chinese Political System', 'Factory System', 'Great Wall', 'A Dream of Red Mansions', 'The Great Wall', 'Nie Haihua']","[0.5452666127648785, 0.48321443488589555, 0.4775168342142451, 0.4013285291233431, 0.400304461530265, 0.39373421036787226, 0.39039891119474124, 0.3816567204846363, 0.3666622063040753, 0.3587351611579568, 0.34912080482117186, 0.34795528999438974, 0.3451343676293074, 0.3436444018882096, 0.3326526458267287, 0.33195874545866016, 0.3115809959692162, 0.3075981112170636, 0.3038746524862529, 0.3038698498996032]"
213,Reform Movement of 1898,Revolution of 1911,Reform Movement of 1898,2,"['Reform Movement of 1898', 'Revolution of 1911', 'The Revolution of 1911', 'New Culture Movement', 'Meiji Restoration in Japan', 'A Dream of Red Mansions', 'Democratic Centralism in China', 'Chinese Political System', 'Peach Blossom Fan', 'Enlightenment', 'China', 'Fortress Besieged', 'Nie Haihua', 'Great Wall', 'The French Revolution', 'The Great Wall', 'The War Against Japan', 'Journey to the West', 'Ancient Rome', 'The Second Industrial Revolution']","[0.9438508251573168, 0.5879713617563411, 0.5832766524810011, 0.5662916340054508, 0.42103942190889804, 0.3884763656259298, 0.3677763691928396, 0.36061799545507545, 0.3572367694791339, 0.3336647436059116, 0.31801108409288237, 0.3157011568167369, 0.30722818486850895, 0.28948049706488677, 0.2883389263008471, 0.2827684531131594, 0.27578984158049935, 0.26440609302472284, 0.22862985549455894, 0.22753199338945618]"
214,Reform Movement of 1898,New Culture Movement,Reform Movement of 1898,4,"['Reform Movement of 1898', 'Revolution of 1911', 'The Revolution of 1911', 'New Culture Movement', 'Meiji Restoration in Japan', 'A Dream of Red Mansions', 'Democratic Centralism in China', 'Peach Blossom Fan', 'Chinese Political System', 'Enlightenment', 'Fortress Besieged', 'China', 'Nie Haihua', 'The French Revolution', 'The War Against Japan', 'Great Wall', 'The Great Wall', 'The Second Industrial Revolution', 'Journey to the West', 'Declaration of the Rights of Man']","[0.9575087792474954, 0.611181674500149, 0.6067454531736529, 0.5682293044178012, 0.4258541679748788, 0.3853500555732359, 0.3843883144207462, 0.360981689631356, 0.3597393787980572, 0.3434018400682648, 0.32883929863290057, 0.32647896300704765, 0.3261028978012347, 0.3218203990330815, 0.28409213026949676, 0.2826152256748061, 0.28199014819790685, 0.25098650403794565, 0.24928564717899418, 0.23602626438658125]"
215,Revolution of 1911,New Culture Movement,Revolution of 1911,4,"['Revolution of 1911', 'The Revolution of 1911', 'Reform Movement of 1898', 'New Culture Movement', 'China', 'Democratic Centralism in China', 'Chinese Political System', 'Meiji Restoration in Japan', 'A Dream of Red Mansions', 'The French Revolution', 'The War Against Japan', 'Nie Haihua', 'Peach Blossom Fan', 'Fortress Besieged', 'The American War of Independence', 'Declaration of the Rights of Man', 'Great Wall', 'The Great Wall', 'Enlightenment', 'Declaration of Independence']","[0.9256607446865713, 0.9239039608387951, 0.6126649621021647, 0.4818222219000629, 0.45112661578673013, 0.4375807124236203, 0.4328088017790407, 0.4092486654080083, 0.39472072368074684, 0.39226968630851633, 0.3758697001016523, 0.37213791897481885, 0.3246672899674122, 0.3243192511368544, 0.32365563553476995, 0.3214986509257203, 0.3196201157222487, 0.31014237430039604, 0.3026983068168196, 0.29773095532820204]"
216,Egypt,Ancient Western Asia,India,2,"['India', 'Ancient Western Asia', 'China', 'Ancient Greece', 'Ancient Rome', 'Alphabet', 'Desert', 'Islam', 'The Great Wall', 'Christianity', 'Archeology', 'City', 'Democracy', 'Great Wall', 'nation', 'human', 'poverty', 'Population Movement', 'city', 'The French Revolution']","[0.505688064584967, 0.46397484666292566, 0.4541697187133902, 0.4254550949868531, 0.3887476455802388, 0.34982542545164075, 0.3281033461689037, 0.32665177887239666, 0.3208562346357561, 0.31120013399222224, 0.30945414028687745, 0.2801074206629185, 0.2795083073451632, 0.2774659653831393, 0.2759235222400357, 0.2722323808028976, 0.26659588677336976, 0.26655425482032874, 0.2661237349845892, 0.2540346300510451]"
