id,target,gold_source,all_golden_sources,predicted_rank_1,gold_rank,num_golden_found,found_golden_sources,golden_ranks,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties,baseline
171,Portfolio,Cooking,['Cooking'],Investors,-1,0,[],[],"['Investors', 'Financial Markets', 'Financial Balance']","[0.5306089213489981, 0.4605389530100293, 0.4149677319656756]",name_properties,"Portfolio. stock, combination, Sharpe ratio","A portfolio refers to a combination of stocks, bonds, and other assets that an investor holds in their investment account. The primary goal of creating a portfolio is to maximize returns while minimizing risks. Investors often use a combination of assets with different risk levels to create a diversified portfolio that can weather market volatility. The performance of a portfolio is often measured by the Sharpe ratio, which takes into account the return of the portfolio, as well as the risk-free rate of return and the level of risk associated with the portfolio. By monitoring the Sharpe ratio, investors can adjust their portfolio to maximize returns while minimizing risks. Overall, a thoughtfully crafted portfolio can be an effective tool for wealth creation and financial security.","stock, combination, Sharpe ratio",embedding_top3
172,Marketing,War,['War'],company,-1,0,[],[],"['company', 'Supply Chain', 'business']","[0.5187705821655214, 0.5146413566600068, 0.5128167120558016]",name_properties,"Marketing. product, Sale, client, market","Marketing is an essential aspect of any business, involving a range of activities that enable sellers, retailers or manufacturers to explore, create and deliver value to meet the needs of a target audience or market. The process includes selecting a target audience, product design and packaging, advertising campaigns, attending trade shows, creating awareness of a brand, and building loyalty amongst clients. Marketing is either done by the seller or contracted out to a marketing agency or advertising firm. The process involves the use of market orientations that determine how marketers plan their marketing strategies. Marketing research and understanding the target market are essential elements of a successful marketing campaign. Ultimately, marketers must use various methods to promote the product, including coupons, and price inducements, to attract customers and increase sales. The primary focus of marketing is to identify, anticipate, and satisfy the needs and wants of customers, with the end goal of building lasting relationships with clients in the market.","product, Sale, client, market",embedding_top3
173,Economics,Sailing,['Sailing'],Financial Markets,-1,0,[],[],"['Financial Markets', 'money', 'business']","[0.5013982578540996, 0.47174745223552295, 0.4647678061111262]",name_properties,"Economics. Economy, market, currency, policy","Economics is a field of study that provides insights into the production, distribution, and consumption of goods and services. It is a social science that focuses on understanding the behavior and interactions of economic agents and how economies work. Microeconomics deals with the analysis of individual agents and markets, while macroeconomics investigates the interactions between production, consumption, saving, and investment in the economy. Currency inflation, economic growth, and public policies are some of the essential factors that macroeconomics evaluates. Additionally, economics can be classified into various categories, including positive and normative economics, rational and behavioral economics, and mainstream and heterodox economics. It provides an understanding of how businesses, governments, and policymakers can make informed decisions on different aspects of the economy. The analysis of economic theories can be applied to diverse fields such as finance, cybersecurity, health care, engineering, and government, and to topics such as crime, education, philosophy, politics, religion, social institutions, or the environment. Ultimately, economics serves as a framework for understanding how markets operate, how currency fluctuates, and how public policies impact the economy.","Economy, market, currency, policy",embedding_top3
174,Business cycle,day and night cycle,['day and night cycle'],Buy and Sell,-1,0,[],[],"['Buy and Sell', 'Circular Economy', 'business']","[0.386868214985148, 0.3661145336379532, 0.3449744302377976]",name_properties,"Business cycle. Boom period, Recession, recovery period","The business cycle is a phenomenon marked by alternating periods of expansion, recession, and recovery in the economy. These cycles are defined by changes in macroeconomic variables and are typically measured by indicators such as Real Gross Domestic Production. The duration and intensity of each cycle can vary greatly, with periodicity ranging from 2 to 10 years. Understanding the frequency of business cycles can be achieved through statistical methods such as Bayesian analysis. Although the occurrence of business cycles can be unpredictable, economists have gained insight into their causes through research and data analysis. During boom periods, the economy experiences growth, while recessions are characterized by negative GDP growth lasting for 2 quarters. Recovery periods follow recessions as the economy begins to rebound. The business cycle can be affected by numerous sources, including sudden changes in oil prices, consumer sentiment, and crises such as the 2007-2008 financial crisis or the COVID-19 pandemic.","Boom period, Recession, recovery period",embedding_top3
175,Earth's Plate Movement,A Puzzle,['A Puzzle'],planet,-1,0,[],[],"['planet', 'Seismic Imaging', 'Population Movement']","[0.43003372805626067, 0.3599087048717414, 0.3589056606487176]",name_properties,"Earth's Plate Movement. earth plate, sports, earthquakes and volcanic eruptions","The Earth's lithosphere, which comprises the crust and upper mantle, is broken into several tectonic plates that have been slowly moving for billions of years. This theory of plate tectonics builds on the idea of continental drift, with seafloor spreading validating the model in the 1960s. There are seven or eight major plates, each determined by their relative motion, which can either converge, diverge, or transform. Earthquakes, volcanic activity, mountain-building, and oceanic trench formation occur along the plate boundaries. The movement of tectonic plates is driven by a combination of the motion of the seafloor, density changes in the crust, and other factors like convection and tidal drag. While plate movement can lead to natural disasters like earthquakes and volcanic eruptions, it also contributes to the geographical diversity of the planet, making it an important field of study in the geosciences.","earth plate, sports, earthquakes and volcanic eruptions",embedding_top3
176,Earth's Atmosphere,Greenhouses,['Greenhouses'],planet,2,1,['Greenhouses'],[2],"['planet', 'Greenhouse', 'universe']","[0.5121644323923055, 0.4966270073657643, 0.4751156025122425]",name_properties,"Earth's Atmosphere. atmosphere, radiation, protect earth life","The atmosphere of Earth is a crucial layer of gases that envelops our planet and plays a crucial role in creating and maintaining the conditions suitable for life to survive. It is responsible for creating pressure, regulating temperature, and shielding Earth from harmful radiation, thereby protecting all living organisms. The composition of the atmosphere is primarily nitrogen and oxygen, with trace amounts of argon, carbon dioxide, and other gases, while air also contains water vapor. The study of Earth's atmosphere, called atmospheric science, is a multi-disciplinary field that is vital to understanding our planet and how it works. In addition, the study of historic atmosphere, known as paleoclimatology, is also important in assessing climate change and the long-term patterns of the Earth's atmosphere.","atmosphere, radiation, protect earth life",embedding_top3
177,Volcanic Eruption,Soda,['Soda'],Burning Energy,-1,0,[],[],"['Burning Energy', 'planet', 'Dust Storm']","[0.3478614795968067, 0.3403790508025728, 0.33715344907160216]",name_properties,"Volcanic Eruption. Earth, magma, eruption","Volcanic eruptions are one of the most spectacular and powerful events in the geological history of the planet Earth. These events are caused by the release of molten rock, ash and gases from a vent or fissure in the earth's surface. There are several types of volcanic eruptions, including magmatic eruptions, phreatic eruptions, and phreatomagmatic eruptions. These types of eruptions are characterized by their explosive power, which varies from weak to ultra-plinian, and is measured on the Volcanic Explosivity Index. Despite the dangers they pose to human populations and the environment, volcanic eruptions are also responsible for creating new landforms and soil that support diverse ecosystems. The study of volcanic eruptions and their impact on the earth and its inhabitants is a fascinating field of research that continues to evolve with new discoveries and technological advancements.","Earth, magma, eruption",embedding_top3
178,Atmosphere,Greenhouse,['Greenhouse'],Greenhouse,1,1,['Greenhouse'],[1],"['Greenhouse', 'planet', 'universe']","[0.5610723830564319, 0.5483733362524107, 0.5073365165706643]",name_properties,"Atmosphere. Earth, atmosphere, sun rays","The atmosphere is the layer of gases surrounding a planetary body and is held in place by gravity. It acts as a shield, protecting the planet and its organisms from harmful cosmic rays and solar wind. In the case of the Earth, the atmosphere is composed mainly of nitrogen, oxygen, and trace gases. The variety of gases present in Earth's atmosphere has come into existence through billions of years of biochemical modification by living organisms. The unique layered composition of the Earth's atmosphere also helps to minimize the harmful effects of sunlight and ultraviolet radiation. Indeed, the atmosphere plays a vital role in sustaining life on Earth by acting as a buffer against the harsh sun rays and other cosmic and environmental factors.","Earth, atmosphere, sun rays",embedding_top3
179,Glacier,Ice Cream,['Ice Cream'],Ice Cream,1,1,['Ice Cream'],[1],"['Ice Cream', 'Greenhouse', 'The Great Wall']","[0.421726288118889, 0.33555822139258, 0.3332479612156058]",name_properties,"Glacier. ice, the mountains","A glacier is a dense body of ice that constantly moves under its own weight. It forms over many years from the accumulation of snow exceeding its ablation. Glaciers have unique features like crevasses and seracs, which form due to the stresses induced by their weight. They abrade rocks and debris to create landforms such as moraines, cirques or fjords. Glaciers are distinct from sea and lake ice and occur mostly in the polar regions, but they can also be found in high mountains around the world, except the Australian mainland. Glaciers store almost 70% of the world's fresh water and are an essential source of water for plants, animals, and humans. Due to their sensitivity to long-term climate changes, the fluctuation of glaciers is a significant indicator of climate change and affects sea level variation. Glaciers are recognizable by their distinctive blue color, which results from water molecules absorbing other colors more efficiently than blue and the lack of air bubbles that give white color to ice.","ice, the mountains",embedding_top3
180,Tide,lift,['lift'],tidal phenomena,-1,0,[],[],"['tidal phenomena', 'Water Wave Propagation', 'day and night cycle']","[0.8000671865183095, 0.44260770898552404, 0.44082211298659046]",name_properties,"Tide. ocean, Moon, high tide, ebb and flow","Tides are a natural phenomenon that occur in oceans and other systems as a result of the ebb and flow of sea levels. The gravitational forces exerted by the Moon (and to a lesser extent, the Sun) cause these fluctuations, which can be predicted using tide tables specific to different locations. The alignment of the Sun and Moon, the phase and amplitude of the tide, and the shape of the coastline and near-shore bathymetry all play a role in determining the timing and height of tides. While tide gauges at fixed stations measure water level over time, short-term sea-level fluctuations can also be caused by thermal expansion, wind, and barometric pressure changes, resulting in storm surges. Despite these various factors, tides are an essential aspect of oceanic ecosystems and have been studied for centuries for their impact on land masses and coastlines.","ocean, Moon, high tide, ebb and flow",embedding_top3
181,Active faults,the skeletal system,['the skeletal system'],Friction,3,1,['the skeletal system'],[3],"['Friction', 'Circuit Malfunction', 'the skeletal system']","[0.4216517765727211, 0.3935566442645896, 0.3841033592327695]",name_properties,"Active faults. plate, fault, move, fracture","Active faults are geological hazards that have the potential to cause earthquakes in the future. These faults are classified as active if there has been a movement observed or evidence of seismic activity within the last 10,000 years. The effects of active faulting can be catastrophic, including strong ground motion, surface faulting, tectonic deformation, landslides, rockfalls, liquefaction, tsunamis, and seiches. Quaternary faults are considered to be active faults that have been observed at the surface and have evidence of movement during the Quaternary period. Studying active faults involves various geological disciplines such as seismology, geomorphology, plate tectonics, remote sensing, and risk analysis. These disciplines aim to better understand the behavior of plates, fractures, and movements of the earth crust to help identify and mitigate risks associated with active faults.","plate, fault, move, fracture",embedding_top3
182,Active Fault,Spring,['Spring'],Seismic Imaging,-1,0,[],[],"['Seismic Imaging', 'Circuit Malfunction', 'Friction']","[0.4146710587995885, 0.4063176689822888, 0.3540488311985242]",name_properties,"Active Fault. displacement, earthquake","An active fault refers to a fault that has experienced movement or seismic activity within the last 10,000 years and is likely to cause another earthquake in the future. Such faulting is considered a geologic hazard, leading to various effects such as strong ground motion, surface faulting, tectonic deformation, landslides, liquefaction, and even tsunamis. The study of active faults relies on multiple geological disciplines such as geomorphology, seismology, plate tectonics, and remote sensing, to name a few. Understanding the displacement patterns of active faults is crucial in predicting and mitigating the effects of future earthquakes.","displacement, earthquake",embedding_top3
183,Geological folds,wrinkles,['wrinkles'],wrinkles,1,1,['wrinkles'],[1],"['wrinkles', 'Origami', 'Blankets']","[0.5043863671036057, 0.4901531290173692, 0.4405671321454032]",name_properties,"Geological folds. ground, wrinkle, evolution","Geological folds are an interesting phenomenon that occur when originally flat rock surfaces are bent or curved during permanent deformation. These folds can range in size from microscopic crinkles to mountains and can form under various conditions of stress, pore pressure, and temperature gradient. Folds can also be formed due to displacement on a non-planar fault or differential compaction, among other reasons. These ground wrinkles are important to study as they can provide insight into the evolution of rock formations and can be found in a variety of rock types.","ground, wrinkle, evolution",embedding_top3
184,Volcano,Car,['Car'],Vortex,2,1,['Car'],[2],"['Vortex', 'Car', 'Burning Energy']","[0.3337134296076196, 0.31323195586559993, 0.30668252924065054]",name_properties,"Volcano. crater, magma, Volcano eruption","A volcano is a geological formation that occurs due to the rupture of the Earth's crust, allowing molten magma, volcanic ash, and gases to escape from the Earth's mantle. Volcanoes are commonly found in areas where tectonic plates converge or diverge, and some are even found under the ocean. These geological formations come in a variety of shapes and sizes, and their eruptions can have a profound impact on the atmosphere and temperature of the surrounding areas. The formation of a crater is often associated with the eruption of a volcano, which can release an immense amount of energy and heat, potentially causing catastrophic outcomes. Despite the destructive nature of volcanoes, they have also helped create some of the world's most beautiful landscapes, and the study of volcanoes has contributed significantly to our understanding of the Earth's geological processes.","crater, magma, Volcano eruption",embedding_top3
185,Rock Metamorphosis,Baking,['Baking'],Prospecting,-1,0,[],[],"['Prospecting', 'heat', 'Evolution']","[0.3602542027328412, 0.32245197718233964, 0.31322208912978183]",name_properties,"Rock Metamorphosis. High temperature and pressure, Proto-rock, metamorphic rock","Rock Metamorphosis is not a geological process in this context, but an album by the American rock band, Papa Roach. Released in 2009, this was the band's sixth album, and it marked the beginning of a new era with Tony Palermo joining the band as a drummer. Previously titled Days of War, Nights of Love, the album features songs with titles that reflect the original plan for the name. The album's sound can be described as a blend of proto-rock and high temperature and pressure from the band's inspirations and influences.","High temperature and pressure, Proto-rock, metamorphic rock",embedding_top3
186,Geological Formation,Origami,['Origami'],wrinkles,3,1,['Origami'],[3],"['wrinkles', 'Spring', 'Origami']","[0.46461989227546496, 0.3841304990579352, 0.37894380276335604]",name_properties,"Geological Formation. rock formation, wrinkle, fault","A geological formation is a distinct body of rock that displays identifiable physical characteristics and occupies a specific position in a region's stratigraphic column. These formations can consist of various lithologies that differentiate them from neighboring rocks. Determining the thickness of a formation isn't what defines it, but it must be large enough to be mapped on the surface or traced in subsurface testing. The idea of a geologic formation originates from the early stages of modern science, and it has evolved over time, becoming more formalized with numerous codified works to date. Geologic maps that illustrate exposed formations at the surface play a crucial role in fields like structural geology, aiding in predicting the likely sites for hidden mineral resources and inferring the tectonic history of a place. These formations can be affected by external forces, such as a wrinkle or fault, which can impact their shape, size, and character.","rock formation, wrinkle, fault",embedding_top3
187,Deposit Formation,Cookie Making,['Cookie Making'],Prospecting,-1,0,[],[],"['Prospecting', 'Friction', 'File Cabinet']","[0.4157094243341938, 0.333314595424077, 0.33159609961484876]",name_properties,"Deposit Formation. crust, mineral, ore deposit","Deposit formation, also known as fouling, refers to the unwanted accumulation of living or non-living substances on various surfaces. This phenomenon hinders the performance of components, systems, or plants that have specific functions. Deposit formation can take several forms, including encrustation, crudding, scaling, and sludge formation. Although it is a common issue in several industries, this article mainly focuses on the fouling of industrial heat exchangers. Micro fouling, which is more challenging to prevent, is particularly problematic. Deposit formation is a broad term that encompasses several aspects, from the fouling of ship hulls to plaque buildup on teeth. In this article, we explore the causes and effects of deposit formation and its impact on industrial heat exchangers. Furthermore, we will discuss the different types of deposit formations and how they can be prevented or minimized. With a particular emphasis on mineral and ore deposit formation, we aim to provide a comprehensive understanding of this phenomenon and its implications for various industries.","crust, mineral, ore deposit",embedding_top3
188,Empire,Tree,['Tree'],Ancient Rome,-1,0,[],[],"['Ancient Rome', 'War', 'Feudal Dynasties']","[0.4190956622828797, 0.406395286165526, 0.39525019348808316]",name_properties,"Empire. territory, civilization, perish","An Empire is a dominant political unit that comprises several territories and peoples. It is formed through conquest and is divided into a dominant centre and subordinate peripheries. The central power exerts political control over the rest of the territories, and each population is governed according to its distinct set of rights. Empires can be ancient or modern, centralized or decentralized, and have varying degrees of brutality. The term ""Empire"" is also used colloquially to refer to large-scale business enterprises or political organizations controlled by a single individual or group. The concept of empire is associated with imperialism, colonialism, and globalization. While the idea of empire can evoke negative sentiment, it remains a significant aspect of human civilization.","territory, civilization, perish",embedding_top3
189,American Congressional System,Democratic Centralism in China,['Democratic Centralism in China'],Mexican Political System,-1,0,[],[],"['Mexican Political System', 'Australian Parliamentary System', 'American Presidential System']","[0.660678485809115, 0.63681614596833, 0.6304675795413873]",name_properties,"American Congressional System. president, House of Representatives, senate","The American Congressional System is a presidential, or single executive system, which is a form of government where the head of government is usually referred to as the president and is responsible for leading an executive branch that operates separately from the legislative branch. The president is elected by a group of citizens and is not accountable to the legislature, and the legislature cannot remove the president from office except in extraordinary situations. In the United States, the Congress, which includes the House of Representatives and the Senate, forms the legislative branch of government.","president, House of Representatives, senate",embedding_top3
190,British Parliamentary System,Australian Parliamentary System,['Australian Parliamentary System'],Australian Parliamentary System,1,1,['Australian Parliamentary System'],[1],"['Australian Parliamentary System', 'British Government System', 'Mexican Political System']","[0.7345776562867363, 0.6044952625722837, 0.5280889208030195]",name_properties,"British Parliamentary System. Congress, prime minister, House of Commons, House of Lords","The British Parliamentary System, also known as the Westminster system, is a type of parliamentary government that originated in England. It utilizes a range of procedures for operating a legislature, with key aspects such as an executive branch made up of members of the legislature who are accountable to it, parliamentary opposition parties to ensure a balance of power, and a ceremonial head of state who is separate from the head of government. The system is named after the Palace of Westminster, which houses the Parliament of the United Kingdom, and it is used in the national and subnational legislatures of most former colonies of the British Empire. This includes countries such as Canada, Australia, and New Zealand, as well as former British Hong Kong. While some colonies have since adopted different systems of government, the Westminster model remains an important foundation for many democratic governments around the world. Within the British Parliamentary System, the Parliament is comprised of two houses - the House of Commons and the House of Lords - and they work alongside the Prime Minister and Congress to make critical decisions.","Congress, prime minister, House of Commons, House of Lords",embedding_top3
191,Russian Political System,Chinese Political System,['Chinese Political System'],Chinese Political System,1,1,['Chinese Political System'],[1],"['Chinese Political System', 'Australian Parliamentary System', 'Mexican Political System']","[0.4964533985398508, 0.4917319317823807, 0.44238129298042017]",name_properties,"Russian Political System. president, federal parliament, state duma","The Russian Political System is a federal semi-presidential republic, as stipulated by the Constitution of Russia. The President serves as the head of state, while the Prime Minister, who is appointed by the President with parliament's approval, heads a multi-party system with executive power. The two houses of the Federal Assembly are in charge of legislative power, and the President and government provide legislatively binding by-laws. Though Russia has encountered significant challenges in establishing a post-Soviet political system, the adoption of a new constitution in 1993 creating a strong presidency ushered in a period of stabilization. Putin's government implemented reforms to strengthen federal control, including rolling back the power of the regions.","president, federal parliament, state duma",embedding_top3
192,Spanish Political System,Mexican Political System,['Mexican Political System'],Mexican Political System,1,1,['Mexican Political System'],[1],"['Mexican Political System', 'Australian Parliamentary System', 'British Government System']","[0.6161941934848508, 0.5499756177558908, 0.49472859658745083]",name_properties,"Spanish Political System. king, parliament, House of Commons, senate","The Spanish Political System is a parliamentary monarchy, wherein the national sovereignty is vested in the people. It is a social representative democratic constitutional monarchy, where the monarch is the head of state, while the prime minister is the head of government. The Cortes Generales is the bicameral parliament, with a Congress of Deputies and a Senate, where legislative power is vested. The judiciary is independent of the executive and the legislature, administering justice on behalf of the King by judges and magistrates. Spain's political system also features a state of autonomies, which is a highly decentralized system of administration. While there are concerns about judicial independence, the Spanish Political System continues to be a multi-party system, where regional parties play a key role in politics.","king, parliament, House of Commons, senate",embedding_top3
193,Japanese Government System,British Government System,['British Government System'],British Government System,1,1,['British Government System'],[1],"['British Government System', 'Feudal Dynasties', 'Meiji Restoration in Japan']","[0.5813350071455835, 0.508910519704497, 0.4421769779006794]",name_properties,"Japanese Government System. the emperor, cabinet","The Japanese Government System is based on the Constitution adopted in 1947, which established a unitary state with three branches of government: legislative, executive, and judiciary. The Emperor is the Head of State but has only ceremonial duties and no powers related to the government. The Cabinet, headed by the Prime Minister, is responsible for directing and controlling the Government's operations and the civil service. The Prime Minister is nominated and appointed to office by the Emperor and has the executive power to lead the Government. The legislative branch consists of two houses - the House of Councilors being the upper house, and the House of Representatives being the lower house. They are directly elected by the people and serve as the supreme organ of sovereignty in the Constitution. The judiciary branch is independent of the other two branches and has the power of judicial review. The Supreme Court and other inferior courts have all judicial powers in the state, and judges are nominated or appointed by the Cabinet and cannot be removed by the executive or the legislature except during impeachment.","the emperor, cabinet",embedding_top3
194,Reign of the Pharaohs,Feudal Dynasties,['Feudal Dynasties'],Feudal Dynasties,1,1,['Feudal Dynasties'],[1],"['Feudal Dynasties', 'Archeology', 'Ancient Rome']","[0.4813519636019915, 0.3119393948006769, 0.29412684823742075]",name_properties,"Reign of the Pharaohs. pharaoh, royal palace, sacrificial place, high priest, noble","Reign of the Pharaohs refers to the period of time when ancient Egypt was ruled by its native kings, also known as pharaohs. The title of Pharaoh was not in use until the New Kingdom's 18th Dynasty, and it remained relatively constant throughout the course of ancient Egyptian history. The pharaohs lived in grand royal palaces and oversaw important sites such as sacrificial places, with the aid of high priests and nobles. The rule of the pharaohs lasted for approximately 2500 years until Egypt was conquered by the Kingdom of Kush, who adopted the traditional pharaonic titulature for themselves. After the Kushite conquest, Egypt was ruled by Achaemenid Empire, whose rulers also took on the title of pharaoh. The reign of the pharaohs came to an end when Egypt became a province of Rome in 30 BC. This list of pharaohs features approximate dates based on the conventional chronology of Ancient Egypt, developed by the Petrie Museum of Egyptian Archaeology. The period of Reign of the Pharaohs is a fascinating time in the history of ancient Egypt and is steeped in rich cultural and historical significance.","pharaoh, royal palace, sacrificial place, high priest, noble",embedding_top3
195,Pyramids,The Great Wall,['The Great Wall'],Democracy,-1,0,[],[],"['Democracy', 'Feudal Dynasties', 'Walls']","[0.349707547757084, 0.34602130909534545, 0.341555934513863]",name_properties,"Pyramids. pyramid, commemorate, worship","Pyramids are magnificent structures that have fascinated people for centuries. These structures are characterized by their triangular outer surfaces that converge to a single step at the top, resembling the geometric shape of a pyramid. Pyramids can have various base shapes such as trilateral, quadrilateral, or any polygon shape with at least three outer triangular surfaces. They were built by civilizations all over the world as a way to commemorate and worship their deities, rulers, or important events. The distribution of weight in a pyramid's design allowed early civilizations to create stable monumental structures. The largest pyramid by volume is the Mesoamerican Great Pyramid of Cholula in Mexico, but the most famous ones are the Great Pyramid of Khufu and the Red Pyramid in Egypt, which are among the only remaining wonders of the ancient world.","pyramid, commemorate, worship",embedding_top3
196,Napoleonic Wars,The War Against Japan,['The War Against Japan'],Enlightenment,-1,0,[],[],"['Enlightenment', 'The French Revolution', 'The American War of Independence']","[0.4688057992624068, 0.4419672958713859, 0.39923018093431617]",name_properties,"Napoleonic Wars. Napoleon, French Empire, Anti-French Coalition","The Napoleonic Wars were a series of conflicts fought between the First French Empire led by Napoleon, and a fluctuating array of European coalitions from 1803 to 1815. The wars originated from political forces arising from the French Revolution and produced a period of French domination of Continental Europe. There were seven Napoleonic Wars, five named after the coalitions that fought Napoleon, plus two named for their respective theatres. The wars were the most widespread and costly wars in European history before World War I. They had profound consequences on global history, including the spread of nationalism and liberalism, the rise of Britain as the world's foremost naval and economic power, and the appearance of independence movements in Latin America. The wars also brought a period of relative peace after their end in continental Europe, lasting until the Crimean War in 1853.","Napoleon, French Empire, Anti-French Coalition",embedding_top3
197,The British Bourgeois Revolution,The American War of Independence,['The American War of Independence'],The French Revolution,2,1,['The American War of Independence'],[2],"['The French Revolution', 'The American War of Independence', 'American Civil War']","[0.6843211734979946, 0.5514664312665077, 0.5273193549888646]",name_properties,"The British Bourgeois Revolution. Feudal rule, Capitalist economy, constitutional monarchy, Bourgeois revolution, Cromwell, Bill of Rights","The British Bourgeois Revolution is a significant event in history, marked by a transition from feudal rule to a capitalist economy, and the establishment of a constitutional monarchy. The bourgeoisie, or the middle and upper classes, played a crucial role in this revolution through their cultural and financial capital. This revolution was influenced by key historical figures such as Cromwell and was ultimately solidified by the Bill of Rights. The bourgeoisie's rise to power marked the beginning of modern industrialization, and their interests in property and capital preservation continue to impact societal concerns today.","Feudal rule, Capitalist economy, constitutional monarchy, Bourgeois revolution, Cromwell, Bill of Rights",embedding_top3
198,English Bourgeois Revolution,The French Revolution,['The French Revolution'],The French Revolution,1,1,['The French Revolution'],[1],"['The French Revolution', 'American Civil War', 'The American War of Independence']","[0.8027296076537855, 0.5622220720844626, 0.556859262323869]",name_properties,"English Bourgeois Revolution. Feudal rule, Capitalist economy, constitutional monarchy, Bourgeois revolution","The English Bourgeois Revolution was a pivotal moment in history, marked by the overthrow of feudal rule and the establishment of a constitutional monarchy. This revolution paved the way for the rise of capitalism and the growth of a new kind of economy in England. The ruling class, a new class of bourgeois, emerged triumphant, marking the beginning of a new era in the country's history. This revolution was an example of a bourgeois-democratic revolution, where the bourgeoisie sought to clear away the remnants of the feudal system and create a new order based on their interests. The establishment of a constitutional monarchy gave the bourgeoisie a stake in the governance of the nation, and a role in shaping the economy. The English Bourgeois Revolution is an important milestone in the history of capitalism, as it paved the way for the unprecedented economic growth and social change that would take place in the years to come.","Feudal rule, Capitalist economy, constitutional monarchy, Bourgeois revolution",embedding_top3
199,American Revolutionary War,The French Revolution,"['The French Revolution', 'American Civil War']",The American War of Independence,2,2,"['The French Revolution', 'American Civil War']","[2, 3]","['The American War of Independence', 'The French Revolution', 'American Civil War']","[0.8205053518791834, 0.6345591418527886, 0.586569002258845]",name_properties,"American Revolutionary War. colonial ruling, Capitalist economy, bourgeois democratic republic, national liberation movement","The American Revolutionary War, also known as the American War of Independence, was a national liberation movement that established and secured the independence of the United States. The conflict arose out of tensions between the thirteen American colonies and Great Britain, which had established the colonies by Royal charter in the 17th and 18th centuries. The colonies were largely autonomous in domestic affairs and trading with Britain, but disputes over trade policies, taxation measures, and British rule in the Northwest Territory and the American colonies ultimately led to the war. The American patriot forces were supported by France and Spain, while the British were supported by Hessian soldiers, Loyalists, Native Americans, and freedmen. The war was fought in North America, the Caribbean, and the Atlantic Ocean. The Continental Army was authorized by Congress with George Washington as commander-in-chief, and significant victories at Trenton and Princeton restored Patriot confidence. France and Spain's support was crucial, resulting in the Treaty of Alliance in February 1778, while Spain's Gulf Coast campaign deprived the Royal Navy of key bases. The war took British forces to the Southern United States, but the Franco-American siege of Yorktown in September 1781 led to Cornwallis's surrender in October. With the Treaty of Paris ratified on September 3, 1783, Britain accepted American independence, and the war officially ended. Thus, the American Revolutionary War established a bourgeois democratic republic, marked by a capitalist economy, ending colonial ruling in the United States.","colonial ruling, Capitalist economy, bourgeois democratic republic, national liberation movement",embedding_top3
200,Bill of Rights,Declaration of Independence,"['Declaration of Independence', 'Declaration of Human Rights']",Declaration of the Rights of Man,3,1,['Declaration of Independence'],[3],"['Declaration of the Rights of Man', 'British Government System', 'Declaration of Independence']","[0.4759588230951624, 0.4758129495987579, 0.47260094382094275]",name_properties,"Bill of Rights. british parliament, limit kingship, Create a constitutional monarchy","A bill of rights is a crucial document that outlines the fundamental rights that a citizenry possesses. It serves as a cornerstone of a democratic society and a limitation on the powers of the ruling authority. The concept of a bill of rights can be traced back to various historical documents, such as the 1689 Declaration of Right in England that aimed to limit the powers of the crown and create a constitutional monarchy. The 1789 United States Bill of Rights, ratified two years after it was written, became the first ten amendments to the US Constitution and established several recognized freedoms, such as freedom of speech, religion, and the press. Other countries and organizations have created their unique bills of rights over time, such as the French Declaration of the Rights of Man and of the Citizen, the Canadian Bill of Rights, and the Universal Declaration of Human Rights by the United Nations. The significance of a bill of rights lies in the fact that it ensures the protection of the basic human rights and freedoms that every individual should enjoy, regardless of their background or beliefs.","british parliament, limit kingship, Create a constitutional monarchy",embedding_top3
201,The Bill of Rights,The Constitution of 1787,['The Constitution of 1787'],Declaration of Independence,3,1,['The Constitution of 1787'],[3],"['Declaration of Independence', 'Declaration of the Rights of Man', 'Constitution of 1787']","[0.46894868771149645, 0.46475156511575466, 0.4645029854939899]",name_properties,"The Bill of Rights. british parliament, limit kingship, Create a constitutional monarchy","The Bill of Rights is a crucial document that outlines the most important rights of a country's citizens which must be respected and protected. It is sometimes known as a declaration or charter of rights and can be entrenched or unentrenched, depending on the country's legislative process. This document was first introduced in the British Parliament in the late 17th century, and its purpose was to limit the power of the monarchy and create a constitutional monarchy. The Bill of Rights is a foundational document in the formation of modern democracies, as it protects individual liberties and guarantees basic human rights to all citizens. Its provisions have been adopted and adapted by many other nations around the world, demonstrating its enduring importance and relevance even today.","british parliament, limit kingship, Create a constitutional monarchy",embedding_top3
