id,target,target_background,gold_source,top_10_sources,top_10_scores,llm_selected_sources,llm_selected_scores,gold_rank,embedding_mode,baseline
218,Ancient Asia,"Ancient Asia was the birthplace of several civilizations that developed around the fertile river valleys. These civilizations included Mesopotamia, India, and China, and they shared similarities and exchanged technologies and ideas such as mathematics and the wheel. Mesopotamia gave the world the Code of Hammurabi and the use of cuneiform, while the Persian Empire rose to a powerful position in the region. Judaism also has its roots in ancient Asia, developing in the Middle East. The spread of Islam in later centuries gave rise to the Islamic Golden Age and influenced the age of Islamic gunpowder empires. The history of Asia also includes major developments such as the trade of the Silk Road and the innovation of gunpowder, which not only affected Asia but also had a significant impact on other parts of the world.",Ancient Greece,"['Ancient Western Asia', 'Ancient Greece', 'Ancient Rome', 'India', 'Archeology', 'Islam', 'Feudal Dynasties', 'Christianity', 'China', 'Great Wall']","[0.5647011461665439, 0.47254429895226185, 0.4626442284312747, 0.39454443071038503, 0.3846252544392243, 0.3350511915543203, 0.3065943986082231, 0.3050955950040427, 0.2972081955719993, 0.27966572248800137]","['Ancient Western Asia', 'Ancient Greece', 'Ancient Rome']","[0.5647011461665439, 0.47254429895226185, 0.4626442284312747]",2,name_properties,embedding_llm_top10_to_3
219,Gusia,"

Unfortunately, the description and keywords provided do not seem to be related to the item mentioned, which is ""Gusia."" Could you please provide more information or clarify the description and keywords so that I can generate a proper introduction for the item? Thank you.",India,"['wound', 'Nie Haihua', 'La Traviata', 'Peach Blossom Fan', 'The Real World', 'Soda', 'The Discovery of America', 'The Great Gatsby', 'White Night Walk', 'Cookie Making']","[0.23204329173203947, 0.23148060683593757, 0.22192406658336875, 0.21720432713952165, 0.20818692906216196, 0.19567062384204142, 0.19513697282139847, 0.1919584725318889, 0.1841048400904442, 0.18374517902875026]","['Nie Haihua', 'Peach Blossom Fan', 'The Great Gatsby']","[0.23148060683593757, 0.21720432713952165, 0.1919584725318889]",-1,name_properties,embedding_llm_top10_to_3
220,Egypt,"Egypt is a country with deep cultural roots, spanning the northeast corner of Africa and southwest corner of Asia via a land bridge formed by the Sinai Peninsula. With a history dating back to the 6th–4th millennia BCE, Ancient Egypt saw some of the earliest developments of writing, agriculture, urbanisation, organised religion and central government. The country is most known for its iconic monuments, the giza pyramid complex and the Valley of the Kings, which reflect this rich legacy and remain a significant focus of scientific and popular interest. These pyramids are amongst the most studied and awe-inspiring ancient monuments due to their sheer size and the engineering marvels they represent. The hieroglyphs found within the pyramids and throughout Egypt are a testament to the highly developed writing system of the time, and the important role writing played in preserving history and religion. Despite undergoing political and social instability throughout its history, Egypt remains a regional power in North Africa, the Middle East and the Muslim world, and a middle power worldwide, with a diversified economy ranking 97th on the Human Development Index.",India,"['Christianity', 'Islam', 'Ancient Greece', 'Ancient Western Asia', 'Ancient Rome', 'Desert', 'India', 'Archeology', 'Walls', 'life']","[0.344122583892086, 0.3430469629738134, 0.32220739284951144, 0.3206147279367617, 0.3205149297134283, 0.30498181748184283, 0.3002701244399795, 0.2677658285717156, 0.24231517578560013, 0.2420077155837122]","['Christianity', 'Islam', 'Ancient Greece']","[0.344122583892086, 0.3430469629738134, 0.32220739284951144]",-1,name_properties,embedding_llm_top10_to_3
221,Egypt,"Egypt is a transcontinental country, being part of both Asia and Africa, and is known officially as the Arab Republic of Egypt. Its capital city, Cairo, holds significant importance, alongside Alexandria, which is a major industrial and tourist hub. The country has a long and rich cultural heritage, dating back to the 6th-4th millennia BCE, and is considered a cradle of civilization, given its role in areas such as writing, agriculture, urbanization, organized religion, and central government. The Giza Necropolis, The Valley of the Kings, and the ruins of Memphis and Thebes, are among the iconic monuments that reflect its legacy. With over 100 million inhabitants, the country is the most populous in North Africa and the Arab world. The Nile River, which spans the country, is of great significance, with the majority of the population living near its banks. Although largely Islamised, Egypt has a significant Christian minority, and its long and rich cultural heritage serves as an integral part of its national identity. The country has a diversified economy and is a middle power worldwide, with membership in numerous organizations that reflect its global impact. The Pharaohs and hieroglyphs continue to fascinate scientists and tourists alike and hold a special place in the country's cultural history.",Ancient Rome,"['Christianity', 'Islam', 'Ancient Greece', 'Ancient Western Asia', 'Ancient Rome', 'Desert', 'India', 'Archeology', 'Walls', 'life']","[0.344122583892086, 0.3430469629738134, 0.32220739284951144, 0.3206147279367617, 0.3205149297134283, 0.30498181748184283, 0.3002701244399795, 0.2677658285717156, 0.24231517578560013, 0.2420077155837122]","['Ancient Greece', 'Ancient Western Asia', 'India']","[0.32220739284951144, 0.3206147279367617, 0.3002701244399795]",-1,name_properties,embedding_llm_top10_to_3
222,Egypt,"Egypt is a country located in Northeast Africa and Southwest Asia. Its transcontinental location is composed of the Sinai Peninsula, which forms a land bridge to connect the two regions. Bordering the Mediterranean Sea to the north, Palestine and Israel to the northeast, Sudan to the south, and Libya to the west, Egypt is known for its iconic monuments such as the Giza Necropolis, the Sphinx, Karnak, and other ancient ruins along the Nile Delta. With over 100 million inhabitants, it is considered the 14th most populated country in the world. Egypt has a long and rich cultural heritage, with the Nile River being a vital part of its identity, and hieroglyphs being one of the earliest developments of writing. Although largely Islamized in the 7th century, Egypt has a significant Christian minority and other lesser practiced faiths. Overcoming political instability and turmoil, Egypt is now classified as a developing country and a regional power in North Africa, the Middle East, and the Muslim world.",China,"['Christianity', 'Islam', 'Ancient Greece', 'Ancient Western Asia', 'Ancient Rome', 'Desert', 'India', 'Archeology', 'Walls', 'life']","[0.344122583892086, 0.3430469629738134, 0.32220739284951144, 0.3206147279367617, 0.3205149297134283, 0.30498181748184283, 0.3002701244399795, 0.2677658285717156, 0.24231517578560013, 0.2420077155837122]","['Christianity', 'Islam', 'Ancient Greece']","[0.344122583892086, 0.3430469629738134, 0.32220739284951144]",-1,name_properties,embedding_llm_top10_to_3
223,Gusia,"I'm sorry, but the description and the keywords do not seem to be related to the same topic. The name ""Gusia"" is not mentioned in the description and the keywords ""Mesopotamia"" and ""cuneiform"" do not have any apparent connection to Agnieszka Dowbor-Muśnicka or her role in the Polish resistance during World War II. If you could provide a more accurate and coherent description and set of keywords, I would be happy to generate a short introduction of the item.",China,"['wound', 'Nie Haihua', 'La Traviata', 'Peach Blossom Fan', 'The Real World', 'Soda', 'The Discovery of America', 'The Great Gatsby', 'White Night Walk', 'Cookie Making']","[0.23193374917340542, 0.23149716926434008, 0.22193894173998927, 0.21724747235268882, 0.20811086757054506, 0.19557833064918848, 0.19502477798638063, 0.19191547986096555, 0.18405105446116984, 0.18373859523480243]","['The Discovery of America', 'Peach Blossom Fan', 'Nie Haihua']","[0.19502477798638063, 0.21724747235268882, 0.23149716926434008]",-1,name_properties,embedding_llm_top10_to_3
224,Ancient Asia,"The history of Ancient Asia is rich and diverse, with various civilizations flourishing in the fertile river valleys of Mesopotamia, India, and China. These civilizations shared many similarities, but also developed unique technologies and ideas, such as the development of cuneiform in Mesopotamia. The region was also home to the Persian Empire and saw the rise of Judaism. The steppe nomads played a significant role in the region's history, as their mobile lifestyle allowed for conquests across the continent. The spread of Islam and the innovation of gunpowder in China also had a profound impact on the region, leading to the Islamic Golden Age and the emergence of gunpowder empires. The trade of the Silk Road also facilitated cultural exchange between Asia and other parts of the world. From the early civilizations to the later empires, Ancient Asia played a significant role in shaping world history.",Ancient Rome,"['Ancient Western Asia', 'Ancient Greece', 'Ancient Rome', 'India', 'Archeology', 'Islam', 'Feudal Dynasties', 'Christianity', 'China', 'Great Wall']","[0.5647011461665439, 0.47254429895226185, 0.4626442284312747, 0.39454443071038503, 0.3846252544392243, 0.3350511915543203, 0.3065943986082231, 0.3050955950040427, 0.2972081955719993, 0.27966572248800137]","['Ancient Western Asia', 'Ancient Greece', 'Ancient Rome']","[0.5647011461665439, 0.47254429895226185, 0.4626442284312747]",3,name_properties,embedding_llm_top10_to_3
225,India,"India is a South Asian country known for its vast land area and high population density. It is bounded by the Indian Ocean, Arabian Sea, and Bay of Bengal, and shares land borders with several neighboring countries. The region has been occupied by modern humans for over 55,000 years, and settled life emerged around 9,000 years ago in the western margins of the Indus River Basin, evolving into the Indus Valley Civilization. Hinduism dawned in India around 1200 BCE, as Sanskrit diffused into the region from the northwest. The Dravidian languages of India were supplanted in the northern and western regions, and stratification and exclusion by caste had emerged within Hinduism by 400 BCE. Buddhism and Jainism also arose, proclaiming social orders unlinked to heredity. India has a pluralistic, multilingual, and multi-ethnic society, as well as a democratic parliamentary system. India's population has grown significantly since its independence from British rule in 1947, and the country has become a fast-growing major economy with an expanding middle class. However, India continues to face socio-economic challenges, including gender inequality, child malnutrition, and rising levels of air pollution. The region is rich in biodiversity, and India's forest cover comprises over 20% of its land area. Overall, India is a country with a rich and diverse history, culture, and environment.",China,"['India', 'The Discovery of India', 'Islam', 'China', 'Desert', 'The Discovery of America', 'Immunity', 'Christianity', 'Population Movement', 'Ancient Western Asia']","[0.38601966767241447, 0.34238243735848795, 0.2760849397067157, 0.2656398753072039, 0.23868375875897696, 0.2374212275548179, 0.20189234917147142, 0.20071888347176192, 0.19879748497251504, 0.19769956601866093]","['India', 'China', 'Ancient Western Asia']","[0.38601966767241447, 0.2656398753072039, 0.19769956601866093]",2,name_properties,embedding_llm_top10_to_3
226,India,"India, officially known as the Republic of India, is a country located in South Asia. It is the seventh-largest country and the second-most populous country in the world. It has land borders with Pakistan, China, Nepal, Bhutan, Bangladesh, and Myanmar, and maritime borders with Thailand, Myanmar, and Indonesia. India has a diverse population, with settlers arriving on the subcontinent from Africa over 55,000 years ago. Settled life emerged on the subcontinent 9,000 years ago, eventually evolving into the Indus Valley Civilisation. Hinduism dawned in India from the Rigveda, which was preserved by a vigilant oral tradition. Stratification and exclusion by caste emerged within Hinduism, and Buddhism and Jainism arose, proclaiming social orders unlinked to heredity. Early political consolidations gave rise to the loose-knit Maurya and Gupta Empires. The Mughal Empire ushered in two centuries of relative peace, leaving a legacy of luminous architecture. India became a colony of the British East India Company and eventually gained independence after an influential nationalist movement emerged, which was noted for nonviolent resistance. India has since become a federal republic and a fast-growing major economy. It has a space programme and plays an increasing role in global culture. However, India also faces various socio-economic challenges, including gender inequality, child malnutrition, and rising levels of air pollution. India is megadiverse, with four biodiversity hotspots and a wildlife population supported in protected habitats. The item's keywords, Indian River, Indus script, and Buddhism, are part of India's rich history and cultural heritage.",Ancient Greece,"['India', 'The Discovery of India', 'Islam', 'China', 'Desert', 'The Discovery of America', 'Immunity', 'Christianity', 'Population Movement', 'Ancient Western Asia']","[0.38601966767241447, 0.34238243735848795, 0.2760849397067157, 0.2656398753072039, 0.23868375875897696, 0.2374212275548179, 0.20189234917147142, 0.20071888347176192, 0.19879748497251504, 0.19769956601866093]","['India', 'The Discovery of India', 'Islam']","[0.38601966767241447, 0.34238243735848795, 0.2760849397067157]",-1,name_properties,embedding_llm_top10_to_3
227,India,"India is a South Asian country known for its cultural, linguistic, and biological diversity, ranking as the seventh largest and the second most populous country in the world. It shares land borders with Pakistan, China, Nepal, Bhutan, Bangladesh, and Myanmar while the Indian Ocean, Arabian Sea, and Bay of Bengal surround the country. The earliest human settlement in India occurred over 55,000 years ago, with isolated hunter-gatherers throughout the subcontinent. The western Indus River showed signs of a settled life as early as 9,000 years ago which evolved into the great Indus Valley Civilisation. The Rigveda, an ancient Sanskrit hymn, is evidence of the emergence of Hinduism in India. Buddhism and Jainism arose as alternative religions outside of Hinduism, while social order through caste slowly emerged. Political consolidation led to the Maurya and Gupta Empires, which were marked by creativity but also the subjugation of women and the inclusion of untouchability under an organized belief system. India saw the emerging of Christianity, Islam, Judaism, and Zoroastrianism on its coastal regions during the early medieval era. The Delhi Sultanate and the Mughal Empire ushered northern India into the cosmopolitan network of medieval Islamic culture, while the Vijayanagara Empire created a lasting Hindu culture in southern India. Christian missionaries arrived in India, but only saw limited success. By the time of British rule, technological progress and nationalist movements emerged while the Indian economy became less destitute. This resulted in the creation of the two independent dominions, the Dominion of India and Dominion of Pakistan. India, a federal republic since 1950, is currently the world's fastest-growing economy and serves as a major hub for information technology services. The country's challenges include poverty, gender inequality, child malnutrition, and air pollution. Despite this, India is home to a megadiverse array of plant and animal life while being a nuclear weapon state with an expansive space program.",Ancient Rome,"['India', 'The Discovery of India', 'Islam', 'China', 'Desert', 'The Discovery of America', 'Immunity', 'Christianity', 'Population Movement', 'Ancient Western Asia']","[0.38601966767241447, 0.34238243735848795, 0.2760849397067157, 0.2656398753072039, 0.23868375875897696, 0.2374212275548179, 0.20189234917147142, 0.20071888347176192, 0.19879748497251504, 0.19769956601866093]","['India', 'The Discovery of India', 'Islam']","[0.38601966767241447, 0.34238243735848795, 0.2760849397067157]",-1,name_properties,embedding_llm_top10_to_3
228,China,"China, officially the People's Republic of China (PRC), is a country located in East Asia. It is the world's most populous country and one of the largest nations in terms of land area, spanning the equivalent of five time zones. The country is home to over 1.4 billion people and has a rich cultural and historical heritage. Chinese civilization can be traced back to the Yellow River and the Xia dynasty in the 21st century BCE. The country has seen the rise and fall of many dynasties and empires, including the Qin, Han, Sui, Tang, Song, Yuan, Ming, and Qing. The collapse of the monarchy in 1912 led to the establishment of the Republic of China, which was later replaced by the People's Republic of China in 1949. The country is currently governed as a Marxist-Leninist one-party socialist republic by the Chinese Communist Party (CCP). China has made significant economic and social progress since the establishment of the PRC, but has also been criticized for human rights abuses and political repression. The country has an important role in the global economy and is a major manufacturer and exporter. China is also considered to be a potential superpower due to its growing military strength and influence in international affairs. The Yellow River, Yangtze River, and Oracle are all important aspects of China's cultural and historical heritage.",Ancient Greece,"['China', 'Great Wall', 'Democratic Centralism in China', 'The War Against Japan', 'Chinese Political System', 'The Great Wall', 'Computer Code', 'Sunrise', 'The Discovery of India', 'neutral country']","[0.39876770481659635, 0.2910118769322353, 0.28843487499463655, 0.26245005911917885, 0.2569333126126203, 0.24272218225600586, 0.2272660934024143, 0.22268520352119914, 0.21658971600624266, 0.2163298226344773]","['China', 'Great Wall', 'Democratic Centralism in China']","[0.39876770481659635, 0.2910118769322353, 0.28843487499463655]",-1,name_properties,embedding_llm_top10_to_3
229,China,"China is a vast and ancient country that spans five time zones and borders fourteen countries, making it the world’s most populous country with a population exceeding 1.4 billion people. The country is divided into 22 provinces, five autonomous regions, four municipalities, and two special administrative regions, with Beijing as the capital and Shanghai as the largest financial center. Chinese civilization traces its origins to the fertile basin of the Yellow River in the North China Plain, which gave birth to the Xia dynasty in the 21st century BCE, followed by the Shang and Zhou dynasties that developed a bureaucratic political system. The country made world-leading scientific advances, such as the Four Great Inventions: gunpowder, paper, the compass, and printing, and formed one of the world's foremost economic powers under the Han dynasty. The Tang dynasty welcomed foreign trade and culture that came over the Silk Road and adapted Buddhism to Chinese needs, while the Manchu-led Qing dynasty established a multi-ethnic state that was the basis of the modern Chinese nation. The Chinese monarchy collapsed in 1912 with the Xinhai Revolution, leading to a period of unrest and skirmishes known as the Warlord Era. In 1949, the CCP established the People's Republic of China on the mainland, while the Kuomintang-led ROC government retreated to the island of Taiwan. Making up around one-fifth of the world economy, China is the world's largest economy by GDP at purchasing power parity and the second-largest economy by nominal GDP. China is strategically positioned as a potential superpower due to its high level of innovation, economic potential, growing military strength, and influence in international affairs.",Ancient Rome,"['China', 'Great Wall', 'Democratic Centralism in China', 'The War Against Japan', 'Chinese Political System', 'The Great Wall', 'Computer Code', 'Sunrise', 'The Discovery of India', 'neutral country']","[0.39876770481659635, 0.2910118769322353, 0.28843487499463655, 0.26245005911917885, 0.2569333126126203, 0.24272218225600586, 0.2272660934024143, 0.22268520352119914, 0.21658971600624266, 0.2163298226344773]","['China', 'Great Wall', 'Democratic Centralism in China']","[0.39876770481659635, 0.2910118769322353, 0.28843487499463655]",-1,name_properties,embedding_llm_top10_to_3
230,Ancient Greece,"Ancient Greece was a civilization located in the northeastern Mediterranean. It existed from the Greek Dark Ages until the end of classical antiquity, encompassing a collection of culturally and linguistically related city-states and territories, including Athens culture. Classical Greece, from the Greco-Persian Wars to the 5th to 4th centuries BC, represented the Golden Age of Athens. Alexander the Great's empire, which lasted 13 years, had a significant impact on the region. Classical Greek culture, with its most remarkable contribution being philosophy, had a powerful influence on ancient Rome. Because of these numerous achievements, Classical Greece is regarded as the cradle of Western civilization from where the modern West derives many of its founding archetypes and ideas in politics, philosophy, science, and art.",Ancient Rome,"['Ancient Greece', 'Ancient Rome', 'Ancient Western Asia', 'Archeology', 'life', 'Feudal Dynasties', 'Christianity', 'India', 'Enlightenment', 'society']","[0.664772508598944, 0.5327571335710322, 0.459911776154739, 0.31011223535555743, 0.3049320065685499, 0.3027941239594501, 0.29295823276511623, 0.28997204773619223, 0.2869330222769103, 0.25849593478227156]","['Ancient Rome', 'Ancient Western Asia', 'India']","[0.5327571335710322, 0.459911776154739, 0.28997204773619223]",1,name_properties,embedding_llm_top10_to_3
231,Buddhism,"Buddhism is a religion and philosophical tradition that had its origins in ancient India and is based on the teachings of Gautama Siddhartha, also known as Buddha. It is a path of spiritual development that emphasizes the attainment of liberation from attachment or clinging to existence. The Buddha's central teachings emphasize the Middle Way, which is a path of spiritual development that avoids both extreme asceticism and hedonism. Buddhism spread throughout much of Asia via the Silk Road and is now the world's fourth-largest religion, with over 520 million followers. There are two major branches of Buddhism, Theravāda and Mahāyāna, with different interpretations of the paths to liberation. The Diamond Sutra is one of the most important and influential scriptures in Buddhism, widely studied and practiced throughout Asia.",Christianity,"['India', 'Journey to the West', 'Christianity', 'Healing', 'accepting a belief', 'Animal Farm', 'Islam', 'Feudal Dynasties', 'New Culture Movement', 'Sunrise']","[0.4443921458969984, 0.32870573303105854, 0.3263690251135674, 0.3247842615645766, 0.26810471362274474, 0.25357263018667386, 0.24900078267846765, 0.23751758086184088, 0.23603653835932326, 0.23211195920213035]","['Christianity', 'Islam', 'India']","[0.3263690251135674, 0.24900078267846765, 0.4443921458969984]",1,name_properties,embedding_llm_top10_to_3
232,Buddhism,"Buddhism is a religion and philosophical tradition that originated in Ancient India in the 5th century BCE. It is based on the teachings attributed to Gautama Siddhartha, also known as the Buddha. The key focus of Buddhism is the attainment of liberation from attachments that create suffering, such as impermanence and dissatisfaction. The Buddha endorsed the Middle Way, which is a balance between extreme asceticism and hedonism, and the Noble Eightfold Path, which involves ethical observance and meditation practices. Buddhist schools may differ in their interpretation of the paths to liberation and canonicity assigned to various texts. The two main branches of Buddhism are the Theravāda and Mahāyāna traditions, which respectively emphasizes the attainment of nirvāṇa and the Bodhisattva-ideal. The Buddhist canon encompasses a diverse range of textual collections in various languages, including Sanskrit, Pali, Tibetan and Chinese. The Diamond Sutra is a well-known Buddhist text that emphasizes the nature of reality and emptiness. Today, Buddhism has a widespread following in many parts of Asia, including Sri Lanka, Southeast Asia, Nepal, Bhutan, China, Malaysia, Vietnam, Taiwan, Korea, and Japan. Tibetan Buddhism, which preserves the Vajrayāna teachings of eighth-century India, is practiced in the Himalayan states as well as in Mongolia and Russian Kalmykia.",Islam,"['India', 'Journey to the West', 'Christianity', 'Healing', 'accepting a belief', 'Animal Farm', 'Islam', 'Feudal Dynasties', 'New Culture Movement', 'Sunrise']","[0.4444033012380353, 0.3287037474381185, 0.3263800825066346, 0.324729574639844, 0.2680250385911644, 0.2536035298638343, 0.24900742947208448, 0.23746081337382277, 0.23605420298165147, 0.23208145379622924]","['India', 'Journey to the West', 'Christianity']","[0.4444033012380353, 0.3287037474381185, 0.3263800825066346]",-1,name_properties,embedding_llm_top10_to_3
233,Christianity,"Christianity is a major world religion that originated in Palestine in the 1st century AD. It was founded on the life and teachings of Jesus of Nazareth, who was considered to be the Son of God by his followers. Today, Christianity is the world's largest religion, with over 2.4 billion followers from all around the world. The Bible, comprising both the Old Testament and the New Testament, is the primary text of the religion and contains the teachings of Jesus and his followers. The religion has gone through numerous schisms and developments throughout its history, resulting in a variety of denominations and beliefs. Despite this, the core belief among all Christians is that Jesus died on the cross for the salvation of humanity and rose again on the third day. While Christianity began in the Middle East, it has since spread throughout the world, with significant numbers of Christians now residing in Africa and Asia. However, despite its widespread popularity, Christians continue to be persecuted in many parts of the world, particularly in the Middle East, North Africa, East Asia, and South Asia.",Islam,"['Christianity', 'Ancient Rome', 'faith', 'Islam', 'India', 'accepting a belief', 'Healing', 'The Discovery of America', 'Into the Wild', 'Evolution']","[0.697356593532305, 0.43675422001253067, 0.3351188210963972, 0.32436393084088244, 0.2985869571555402, 0.27795977983889075, 0.258041804647139, 0.24878729548951006, 0.2170478130982533, 0.2139214283091314]","['Christianity', 'Ancient Rome', 'faith']","[0.697356593532305, 0.43675422001253067, 0.3351188210963972]",-1,name_properties,embedding_llm_top10_to_3
234,The Discovery of the Cape of Good Hope,"The Discovery of America by Joachim Heinrich Campe is a groundbreaking trilogy that centers around the discovery, early exploration, and conquest of America. Published in the 18th century, the book speaks to young readers and kids, providing a glimpse into the achievements of Christopher Columbus, Hernán Cortés, and Francisco Pizarro. Campe was among the pioneers of German children's literature, and the book has become a cornerstone of children's literature worldwide. The author's involvement in philanthropinism is evident in the trilogy, which has been translated into various languages. Although the trilogy does not directly deal with Dias or Portugal in the Indian Ocean, it is essential in educating and inspiring young readers about the history and culture of America.",The Discovery of America,"['The Discovery of India', 'The Discovery of America', 'laboratory', 'Sailing', 'Declaration of Independence', 'The Long Journey', 'The Movie', 'The Old Man and the Sea', 'Into the Wild', 'company']","[0.5911140102539303, 0.5158871881387124, 0.2589251931373483, 0.25061068581255275, 0.22575604259917487, 0.204936293895966, 0.2042610109246101, 0.20364360371319248, 0.20343777348556955, 0.19615890280752907]","['The Discovery of India', 'The Discovery of America', 'Sailing']","[0.5911140102539303, 0.5158871881387124, 0.25061068581255275]",2,name_properties,embedding_llm_top10_to_3
235,The Discovery of the Cape of Good Hope,"The Discovery of America is a renowned trilogy that takes the reader on a journey through the discovery, exploration, and conquest of America. It is an amazing creation of Joachim Heinrich Campe, a German author and educator, which targets children and young adults as its primary audience. The work focuses on three explorers - Christopher Columbus, Hernán Cortés, and Francisco Pizarro, and each volume is dedicated to one of them. With its direct targeting of children, it is considered to be one of the first books of specific children's literature. The book has been widely successful since its publication in 1781/82 and has been translated into several languages. Joachim Heinrich Campe has set the standard for German children's literature and has made significant contributions to the educational movement of philanthropinism. Despite having nothing to do with Dias or Portugal in the Indian Ocean, the book is a must-read for anyone who loves to discover history in a unique way.",The Discovery of India,"['The Discovery of India', 'The Discovery of America', 'laboratory', 'Sailing', 'Declaration of Independence', 'The Long Journey', 'The Movie', 'The Old Man and the Sea', 'Into the Wild', 'company']","[0.5910763008704436, 0.5158530614609257, 0.2588393830381599, 0.25058032468268815, 0.22572259757345425, 0.2048989328322314, 0.20426107330699625, 0.20359008384294297, 0.20336807435192625, 0.1960996637437857]","['The Discovery of India', 'The Discovery of America', 'Sailing']","[0.5910763008704436, 0.5158530614609257, 0.25058032468268815]",1,name_properties,embedding_llm_top10_to_3
236,The Discovery of America,"Sorry, the given keywords are not relevant to the description of the item which is about the discovery of the Cape of Good Hope. The Cape of Good Hope is a rocky headland on the Atlantic coast of the Cape Peninsula in South Africa that marks the point where a ship begins to travel more eastward than southward when following the western side of the African coastline from the equator. It was discovered by Portuguese explorer Bartolomeu Dias in 1487, who called it Cabo das Tormentas ('Cape of Storms'; Dutch: Stormkaap), which was the original name of the ""Cape of Good Hope"". Its significance to sailors as a waypoint on the Cape Route and the clipper route followed by clipper ships to the Far East and Australia has made it a famous landmark. The term Cape of Good Hope is also used to refer to a section of the Table Mountain National Park, the early Cape Colony established by the Dutch East Indies Company, and the entire region that was to become the Cape of Good Hope Province.",The Discovery of India,"['The Discovery of America', 'The Discovery of India', 'Declaration of Independence', 'laboratory', 'The American War of Independence', 'Into the Wild', 'Ancient Rome', 'Sailing', 'Christianity', 'Brave New World']","[0.8454858049556904, 0.6829492970215543, 0.3821778833894405, 0.33759715863569933, 0.3230185848067399, 0.30834804157327844, 0.26856186784861535, 0.26478836164990677, 0.2549507539444407, 0.25419747347317734]","['The Discovery of India', 'laboratory', 'Sailing']","[0.6829492970215543, 0.33759715863569933, 0.26478836164990677]",1,name_properties,embedding_llm_top10_to_3
237,British Constitutional Monarchy,"A British Constitutional Monarchy is a system of government where the monarch's authority is limited by a constitution, and the monarch's decision-making power is not absolute. This differs from an absolute monarchy, where the king or queen has complete authority. Constitutional monarchies have varying levels of authority granted to the monarch, ranging from almost no discretion to some reserve powers. The United Kingdom is a constitutional monarchy, where the monarch holds formal powers such as dissolving parliament, but these powers can only be exercised in accordance with constitutional principles. One of the defining features of a constitutional monarchy is that the monarch holds their position through hereditary and life tenure, meaning that their role is not subject to regular elections.",American Presidential System,"['British Government System', 'German Constitutional Monarchy', 'Australian Parliamentary System', 'Declaration of Independence', 'Constitution of 1787', 'The American War of Independence', 'The Constitution of 1787', 'The French Revolution', 'Enlightenment', 'Declaration of Human Rights']","[0.556482768952415, 0.4362997734226197, 0.3555676366376062, 0.3272229475399343, 0.3272053357370668, 0.32711184042560376, 0.3260945418467516, 0.3090914531715722, 0.30302380166197806, 0.2956917217703078]","['German Constitutional Monarchy', 'British Government System', 'Constitution of 1787']","[0.4362997734226197, 0.556482768952415, 0.3272053357370668]",-1,name_properties,embedding_llm_top10_to_3
238,British constitutional monarchy,"A British constitutional monarchy is a form of government where the monarch exercises their authority in accordance with a constitution and is not the only decision-maker. The monarch is bound to exercise powers and authorities within the limits prescribed by an established legal framework. The United Kingdom and other Commonwealth realms are constitutional monarchies in the Westminster system of constitutional governance. The monarchy holds formal authority and the government may legally operate in the monarch's name, but the monarch no longer personally sets public policy or chooses political leaders. The British political theorist Walter Bagehot identified three main political rights which a constitutional monarch may freely exercise: the right to be consulted, the right to encourage, and the right to warn. The monarch retains the title for life but is hereditary.",French presidential system,"['British Government System', 'German Constitutional Monarchy', 'Australian Parliamentary System', 'Constitution of 1787', 'Declaration of Independence', 'The Constitution of 1787', 'The American War of Independence', 'Enlightenment', 'The French Revolution', 'Declaration of the Rights of Man']","[0.5979575239124089, 0.40539548511958984, 0.3764813215235475, 0.3339327060447609, 0.3325161720080013, 0.33083033068906853, 0.3295834907378905, 0.3113589985736315, 0.30999357848313286, 0.3025117669633653]","['British Government System', 'German Constitutional Monarchy', 'Australian Parliamentary System']","[0.5979575239124089, 0.40539548511958984, 0.3764813215235475]",-1,name_properties,embedding_llm_top10_to_3
239,British Constitutional Monarchy,"A British constitutional monarchy is a type of monarchy where the monarch's authority is exercised in accordance with a constitution, meaning they are not the sole decision-maker. The British constitutional monarchy is a strong example of this system, with the monarch exercising limited powers that are strictly defined by written constitutional principles and/or unwritten constitutional conventions. The British monarch holds formal powers, such as the right to dissolve parliament or give royal assent to legislation, but these powers are typically exercised only in accordance with established legal frameworks. The British monarchy is hereditary, meaning the crown passes down through generations within the royal family. Additionally, the British monarchy operates on a life tenure basis, with the current monarch reigning until their death or abdication.",German Constitutional Monarchy,"['British Government System', 'German Constitutional Monarchy', 'Australian Parliamentary System', 'Constitution of 1787', 'Declaration of Independence', 'The American War of Independence', 'The Constitution of 1787', 'The French Revolution', 'Enlightenment', 'Declaration of Human Rights']","[0.5564633208883165, 0.43630640097508705, 0.3555704053356261, 0.32725614728237234, 0.3272515285787766, 0.3270830510207431, 0.32615647516532176, 0.3090562165910258, 0.3030159946193852, 0.2956690468604265]","['German Constitutional Monarchy', 'British Government System', 'Australian Parliamentary System']","[0.43630640097508705, 0.5564633208883165, 0.3555704053356261]",1,name_properties,embedding_llm_top10_to_3
